ID|Name|Price|Discount|Brand|Warranty|Details
E-1|Smartphone|999.99|0|APPLE|24|High-resolution screen and powerful processor
E-10|Camera|749.99|0|SAMSUNG|24|High-resolution image capture and video recording
E-11|Soundbar|199.99|0|APPLE|12|High-quality audio with deep bass
E-12|Air Conditioner|1199.99|0|PHILIPS|36|Smart cooling with energy efficiency
E-2|Smartwatch|199.99|0|SAMSUNG|12|Fitness tracking and notifications
E-3|Laptop|1499.99|0|APPLE|36|Lightweight and high-performance for professionals
E-4|Tablet|299.99|0|APPLE|18|Portable and easy to use for everyday tasks
E-5|Headphones|89.99|0|APPLE|12|Noise-cancelling for immersive sound experience
E-6|Television|599.99|0|SAMSUNG|24|4K UHD with HDR support
E-7|Refrigerator|899.99|0|SAMSUNG|36|Energy-efficient with large storage capacity
E-8|Microwave|149.99|0|PHILIPS|12|Quick and uniform heating
E-9|Gaming Console|499.99|0|PHILIPS|24|Next-gen gaming with high performance
